store,address,phone,address,_GC_TYPE,_CLEANADDR,_X,_Y
창원상남동점,경남 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호,055-211-0737,경상남도 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호,정,경상남도 창원시 성산구 중앙대로 104 (상남동),128.6809302,35.22347324
안국역점,"서울시 종로구 율곡로 47 1,2층",02-722-3356,"서울특별시 종로구 율곡로 47 1,2층",유,서울특별시 종로구 율곡로 47 (안국동),126.9845878,37.57633887
강남역먹자골목점,서울시 강남구 테헤란로1길 29 1층일부 및 2.3층,02-552-6311,서울특별시 강남구 테헤란로1길 29 1층일부 및 2.3층,정,서울특별시 강남구 테헤란로1길 29 (역삼동),127.0272918,37.50011508
청주지웰시티점,"충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호",043-238-3151,"충청북도 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호",정,충청북도 청주시 흥덕구 대농로 17 (복대동),127.4241868,36.64526786
마리오아울렛점,서울시 금천구 디지털로9길 23 마리오-2관 패션타워3층,02-857-5501,서울특별시 금천구 디지털로9길 23 마리오-2관 패션타워3층,정,서울특별시 금천구 디지털로9길 23 (가산동),126.8865014,37.47872751
서초뱅뱅사거리점,"서울시 서초구 강남대로 267 2,3층",02-523-8841,"서울특별시 서초구 강남대로 267 2,3층",유,서울특별시 서초구 강남대로 267 (서초동),127.0323341,37.48716485
뉴교보타워옆점,"서울시 서초구 강남대로 449-3 알고코리아빌딩 1,2층",02-591-5177,"서울특별시 서초구 강남대로 449-3 알고코리아빌딩 1,2층",정,서울특별시 서초구 강남대로 449-3 (서초동),127.0248801,37.50235453
선릉로86길점,서울시 강남구 선릉로86길 11,02-2051-8875,서울특별시 강남구 선릉로86길 11,정,서울특별시 강남구 선릉로86길 11 (대치동),127.0505869,37.50340494
국기원사거리점,서울시 강남구 테헤란로 8길 42 1층,02-552-7106,서울특별시 강남구 테헤란로 8길 42 1층,정,서울특별시 강남구 테헤란로8길 42 (역삼동),127.0321742,37.49616823
코엑스인터점,서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,02-569-3103,서울특별시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,정,서울특별시 강남구 봉은사로 524 (삼성동),127.0571162,37.51295263
현대자동차성내점,"서울시 강동구 천호대로 1096 1,2F",02-485-3361,"서울특별시 강동구 천호대로 1096 1,2F",유,서울특별시 강동구 천호대로 1096 (성내동),127.1332497,37.53522139
뉴압구정점,서울시 강남구 논현로 167길 9 낙산프라자 1층,02-545-3181,서울특별시 강남구 논현로 167길 9 낙산프라자 1층,정,서울특별시 강남구 논현로167길 9 (신사동),127.0274281,37.5244021
역삼역4번출구점,서울시 강남구 테헤란로143 고운빌딩1층,02-508-1137,서울특별시 강남구 테헤란로143 고운빌딩1층,정,서울특별시 강남구 테헤란로 143 (역삼동),127.0349073,37.50059283
강남대로센터점,서울시 강남구 강남대로442 흥국화재빌딩 2층,02-565-3345,서울특별시 강남구 강남대로442 흥국화재빌딩 2층,정,서울특별시 강남구 강남대로 442 (역삼동),127.0260696,37.50208593
수원인계점,경기도 수원시 팔달구 권광로 195 학산빌딩1층,031-233-5631,경기도 수원시 팔달구 권광로 195 학산빌딩1층,정,경기도 수원시 팔달구 권광로 195 (인계동),127.0326878,37.26496108
일산원마운트점,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층,031-961-6520,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층,정,경기도 고양시 일산 서구 한류월드로 300 (대화동),126.754523,37.66454489
구로G-ValleyMall,서울시 구로구 디지털로300 지밸리비즈플라자 2층,02-6344-3966,서울특별시 구로구 디지털로300 지밸리비즈플라자 2층,정,서울특별시 구로구 디지털로 300 (구로동),126.8964439,37.48495463
판교아브뉴프랑점,경기도 성남시 분당구 동판교로177번길 25,031-8016-8131,경기도 성남시 분당구 동판교로177번길 25,정,경기도 성남시 분당구 동판교로177번길 25 (삼평동),127.1135683,37.39732112
현대자동차여의도점,서울시 영등포구 국제금융로 20 1층,02-783-3391,서울특별시 영등포구 국제금융로 20 1층,정,서울특별시 영등포구 국제금융로 20 (여의도동),126.9272973,37.52488843
IFC MALL2호점,서울시 영등포구 국제금융로10 IFC Mall L2,02-6137-5054,서울특별시 영등포구 국제금융로10 IFC Mall L2,정,서울특별시 영등포구 국제금융로 10 (여의도동),126.9259369,37.5250584
상암SBS미디어센터점,서울시 마포구 상암산로 82 SBS프리즘타워 1층,02-2039-9027,서울특별시 마포구 상암산로 82 SBS프리즘타워 1층,정,서울특별시 마포구 상암산로 82 (상암동),126.8927739,37.57971592
남양연구소C1식당점,경기 화성시 장덕동 현대연구소로150 현대자동차남양연구소 C1구역식당1F,031-357-8172,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 C1구역식당1F,정,경기도 화성시 현대연구소로 150 (남양읍),126.8152327,37.15853616
이태원제일기획옆점,서울시 용산구 이태원로220(한남동) 1층,02-792-3560,서울특별시 용산구 이태원로220(한남동) 1층,정,서울특별시 용산구 이태원로 220 (한남동),126.998481,37.5348153
내방역7번출구유중아트점,서울시 서초구 방배로178 유중아트센터1층,02-592-8861,서울특별시 서초구 방배로178 유중아트센터1층,정,서울특별시 서초구 방배로 178 (방배동),126.9928306,37.48955184
도심공항점,서울시 강남구 테헤란로87길22 도심공항터미널 지하1층,02-551-6456,서울특별시 강남구 테헤란로87길22 도심공항터미널 지하1층,정,서울특별시 강남구 테헤란로87길 22 (삼성동),127.0594435,37.50963206
타임스퀘어점,서울시 영등포구 영중로15 타임스퀘어 1층,02-2635-8830,서울특별시 영등포구 영중로15 타임스퀘어 1층,정,서울특별시 영등포구 영중로 15 (영등포동4가),126.9036441,37.51719606
여의도신영증권별관점,서울시 영등포구 국제금융로8길6 신영증권별관빌딩2층,02-782-1125,서울특별시 영등포구 국제금융로8길6 신영증권별관빌딩2층,정,서울특별시 영등포구 국제금융로8길 6 (여의도동),126.9296974,37.52180856
이천하이닉스점,경기 이천시 부발읍 하이닉스반도체,031-8094-7013,경기도 이천시 부발읍 하이닉스반도체,대,경기도 이천시 부발읍,127.4968454,37.27006258
압구정현대아파트점,서울시 강남구 압구정로29길65 지하1층,02-518-3350,서울특별시 강남구 압구정로29길65 지하1층,정,서울특별시 강남구 압구정로29길 65 (압구정동),127.0270014,37.53180776
남양연구소PT동점,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 PT동 1층,031-355-1346,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 PT동 1층,정,경기도 화성시 현대연구소로 150 (남양읍),126.8152327,37.15853616
여의도교보증권카페점,서울시 영등포구 의사당대로 97 교보증권빌딩 2층,02-785-8845,서울특별시 영등포구 의사당대로 97 교보증권빌딩 2층,정,서울특별시 영등포구 의사당대로 97 (여의도동),126.9245859,37.522516
광교아브뉴프랑점,"경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호",031-216-9308,"경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호",정,경기도 수원시 영통구 이의동 1332,127.0505267,37.29066088
차병원사거리점,서울시 강남구 봉은사로207 KJ타워1층,02-542-8813,서울특별시 강남구 봉은사로207 KJ타워1층,정,서울특별시 강남구 봉은사로 207 (논현동),127.0346701,37.50785111
연대동문회관점,"서울시 서대문구 대신동 50-5 1층,2층(B동)",02-362-8301,"서울특별시 서대문구 대신동 50-5 1층,2층(B동)",정,서울특별시 서대문구 대신동 50-5,126.943267,37.5631074
광장동대한제지점,서울시 광진구 아차산로563(광장동) 대한제지빌딩 로비층,02-458-8166,서울특별시 광진구 아차산로563(광장동) 대한제지빌딩 로비층,정,서울특별시 광진구 아차산로 563 (광장동),127.1029123,37.54410508
을지로입구역점,"서울시 중구 남대문로10길 6 1,2층",02-752-3348,"서울특별시 중구 남대문로10길 6 1,2층",유,서울특별시 중구 남대문로10길 6 (수하동),126.9832541,37.56689439
현대자동차남양연구소점,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 설계1동1F,031-357-8103,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 설계1동1F,정,경기도 화성시 현대연구소로 150 (남양읍),126.8152327,37.15853616
강남역GT타워옆점,서울시 서초구 서초대로73길12 세계빌딩1층,02-592-0053,서울특별시 서초구 서초대로73길12 세계빌딩1층,정,서울특별시 서초구 서초대로73길 12 (서초동),127.0257345,37.49856062
광화문역1번출구점,서울시 종로구 새문안로5가길 7 1층 일부,02-723-3360,서울특별시 종로구 새문안로5가길 7 1층 일부,정,서울특별시 종로구 새문안로5가길 7 (내수동),126.9740666,37.57273403
파르나스몰점,서울시 강남구 테헤란로521 파르나스몰 지하1층,02-538-2008,서울특별시 강남구 테헤란로521 파르나스몰 지하1층,정,서울특별시 강남구 테헤란로 521 (삼성동),127.0606288,37.50917454
석촌호수점,서울시 송파구 석촌호수로 222 제이타워 1층,02-415-1235,서울특별시 송파구 석촌호수로 222 제이타워 1층,정,서울특별시 송파구 석촌호수로 222 (석촌동),127.1015608,37.50704803
올림픽공원북2문앞점,서울시 강동구 강동대로193 1층,02-471-2372,서울특별시 강동구 강동대로193 1층,정,서울특별시 강동구 강동대로 193 (성내동),127.1280149,37.5245663
산본역점,경기도 군포시 광정로58 1층 104호 및 2층,031-399-8812,경기도 군포시 광정로58 1층 104호 및 2층,정,경기도 군포시 광정로 58 (산본동),126.9309808,37.35850861
신천역점,서울시 송파구 올림픽로100 효창타워1층,02-417-8851,서울특별시 송파구 올림픽로100 효창타워1층,정,서울특별시 송파구 올림픽로 100 (잠실동),127.0816891,37.51141563
강서그랜드아이파크점,서울시 강서구 화곡6동 1095번지 1층,02-2699-7462,서울특별시 강서구 화곡6동 1095번지 1층,정,서울특별시 강서구 화곡동 1095,126.8512875,37.55489383
삼성역글라스타워뒷점,서울시 강남구 영동대로85길 9 (대치동) 서전빌딩1층,02-552-3363,서울특별시 강남구 영동대로85길 9 (대치동) 서전빌딩1층,정,서울특별시 강남구 영동대로85길 9 (대치동),127.0628855,37.50710321
부평문화의거리점,"인천광역시 부평구 시장로29 1,2층",032-507-9901,"인천광역시 부평구 시장로29 1,2층",유,인천광역시 부평구 시장로 29 (부평동),126.7256119,37.49366755
인천공항탑승동105gate앞점,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-68,032-743-7223,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-68,정,인천광역시 중구 공항로 272 (운서동),126.4520047,37.44978412
인천공항탑승동130gate앞점,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57,032-743-7213,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57,정,인천광역시 중구 공항로 272 (운서동),126.4520047,37.44978412
송도홈플러스점,인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층,032-822-5905,인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층,정,인천광역시 연수구 송도국제대로 165 (송도동),126.6563456,37.38023186
종각역점,서울시 종로구 종로 70 2층,02-739-6268,서울특별시 종로구 종로 70 2층,정,서울특별시 종로구 종로 70 (관철동),126.9851724,37.56984435
홍대역8번출구점,서울시 마포구 양화로18안길 7 2층,02-338-9463,서울특별시 마포구 양화로18안길 7 2층,정,서울특별시 마포구 양화로18안길 7 (동교동),126.9251071,37.55683889
매헌역점,서울시 서초구 동산로 1  1층,02-2058-0921,서울특별시 서초구 동산로 1 1층,정,서울특별시 서초구 동산로 1 (양재동),127.0401486,37.46898668
분당정자점,경기도 성남시 분당구 정자일로 227(정자동) 백궁지엔느주차전용빌딩 1층,031-786-1906,경기도 성남시 분당구 정자일로 227(정자동) 백궁지엔느주차전용빌딩 1층,정,경기도 성남시 분당구 정자일로 227 (정자동),127.1056011,37.37071997
범계역로데오점,경기도 안양시 동안구 평촌대로 223번길 41(호계동 1045-9) 2층,031-476-9082,경기도 안양시 동안구 평촌대로 223번길 41(호계동 1045-9) 2층,정,경기도 안양시 동안구 평촌대로223번길 41 (호계동),126.9535091,37.39050613
수원망포역점,경기도 수원시 영통구 영통로 214번길 8 1층,031-273-8751,경기도 수원시 영통구 영통로 214번길 8 1층,정,경기도 수원시 영통구 영통로214번길 8 (영통동),127.0575726,37.24622512
장안점,"서울시 동대문구 장안동 372-1, 1층 일부 및 2층 전체",02-2249-9826,"서울특별시 동대문구 장안동 372-1, 1층 일부 및 2층 전체",정,서울특별시 동대문구 장안동 372-1,127.0705011,37.57095054
상암한국지역정보개발원점,서울시 마포구 성암로301 KLID한국지역정보개발원 1층,02-376-9162,서울특별시 마포구 성암로301 KLID한국지역정보개발원 1층,정,서울특별시 마포구 성암로 301 (상암동),126.8879341,37.58242995
현대프리미엄아울렛김포점,경기도 김포시 고촌읍 아라육로 152번길 100 현대프리미엄아울렛 WEST 3층 618호,031-8048-2618,경기도 김포시 고촌읍 아라육로 152번길 100 현대프리미엄아울렛 WEST 3층 618호,정,경기도 김포시 아라육로152번길 100 (고촌읍),126.7855891,37.5994988
포스코옆삼성로86길점,서울특별시 강남구 삼성로86길 11 거봉빌딩 1층,02-569-7501,서울특별시 강남구 삼성로86길 11 거봉빌딩 1층,정,서울특별시 강남구 삼성로86길 11 (대치동),127.0583046,37.50589611
노원역점,"서울시 노원구 노해로 490, 길빌딩 2층",02-952-9577,"서울특별시 노원구 노해로 490, 길빌딩 2층",정,서울특별시 노원구 노해로 490 (상계동),127.0624109,37.65440939
문래동점,서울시 영등포구 문래동6가 5번지 1층,02-2069-3157,서울특별시 영등포구 문래동6가 5번지 1층,정,서울특별시 영등포구 문래동6가 5,126.8890532,37.5196444
